seed,method,role,source,decision_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,learning_rate,parent_learning_rate,alpha,cs_lambda,metric_path,config_path
43,ldam_drw,ldam_drw,camera_ready_seed_43,argmax,0.96875,0.9765625,0.008125,0.08125,0.96875,0.96875,0.9690202869573724,2,5e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_ldam_drw_lr5e5_s43_05-03_22-58/metrics_20260503_225830_ldam_drw.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0008_5b63f58144c4bfdf.json
43,ap_csada,ap_csada,camera_ready_seed_43,argmax,0.90625,0.96875,0.0084375,0.084375,0.971875,0.971875,0.9719416249682948,2,1e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_ap_csada_lr5e5_s43_05-03_23-00/metrics_20260503_230018_ap_csada.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0009_dbd5262be5661620.json
43,sosr_cnn,sosr_cnn,camera_ready_seed_43,sosr_argmin,0.75,0.890625,0.015625,0.15625,0.84375,0.84375,0.8356918515299391,0,1e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_sosr_cnn_lr5e5_s43_05-03_23-03/metrics_20260503_230321_sosr_cnn.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0010_2041fa1ea5e273bd.json
43,csada,csada,camera_ready_seed_43,argmax,0.9375,0.984375,0.013750000000000002,0.1375,0.890625,0.890625,0.888231635884069,1,1e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_csada_lr5e5_s43_05-03_23-05/metrics_20260503_230544_csada.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0011_beb55f4506d2baf2.json
44,ce_anchor_pretty,ce_anchor_pretty,camera_ready_seed_44,argmax,0.9375,0.9765625,0.0046875,0.046875,0.98125,0.98125,0.9813875013875014,1,5e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_ce_anchor_pretty_lr5e5_s44_05-03_23-10/metrics_20260503_231058_cross_entropy.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/run/configs/0001_11e306bbaaef0ea9.json
44,ce_cost_min_inference_pretty,ce_cost_min_inference_pretty,camera_ready_seed_44,cost_min,0.90625,0.9453125,0.00625,0.0625,0.965625,0.965625,0.9656386869805351,1,5e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_ce_anchor_pretty_lr5e5_s44_05-03_23-10/metrics_20260503_231058_cross_entropy.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/run/configs/0001_11e306bbaaef0ea9.json
44,nicme_v3_hybrid_pretty_a0p5_l0p07,nicme_v3_hybrid_pretty_a0p5_l0p07,camera_ready_seed_44,argmax,0.90625,0.96875,0.005625,0.05625,0.971875,0.971875,0.9719567887309821,1,5e-05,5e-05,0.5,0.07,results/pmi10_sota_convnext_base_test/camera_ready_run_nicme_v3_hybrid_pretty_a0p5_l0p07_lr5e5_s44_05-03_23-15/metrics_20260503_231534_nicme_v3_hybrid.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/run/configs/0002_f8d92322df040e60.json
44,nicme_v2_hybrid_pretty,nicme_v2_hybrid_pretty,camera_ready_seed_44,argmax,0.90625,0.96875,0.008749999999999999,0.0875,0.9125,0.9125,0.9094668741660964,0,5e-05,5e-05,0.4,0.25,results/pmi10_sota_convnext_base_test/camera_ready_run_nicme_v2_hybrid_pretty_lr5e5_s44_05-03_23-19/metrics_20260503_231910_nicme_hybrid.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/run/configs/0003_8aa08f620e3b21de.json
44,cost_weighted_ce,cost_weighted_ce,camera_ready_seed_44,argmax,0.875,0.9609375,0.011875,0.11875,0.965625,0.965625,0.9655514976826453,3,5e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_cost_weighted_ce_lr5e5_s44_05-03_23-22/metrics_20260503_232214_cost_weighted_ce.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/run/configs/0004_97ce99728c1809e2.json
44,menon_logit_adjusted,menon_logit_adjusted,camera_ready_seed_44,argmax,0.9375,0.9765625,0.0046875,0.046875,0.98125,0.98125,0.981475805496328,1,5e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_menon_logit_adjusted_lr5e5_s44_05-03_23-27/metrics_20260503_232719_menon_logit_adjusted.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/run/configs/0005_9feef276366dea80.json
44,balanced_softmax,balanced_softmax,camera_ready_seed_44,argmax,0.9375,0.9765625,0.0046875,0.046875,0.98125,0.98125,0.9813875013875014,1,5e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_balanced_softmax_lr5e5_s44_05-03_23-32/metrics_20260503_233225_balanced_softmax.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/run/configs/0006_c59e8a0c83f52c21.json
44,class_balanced_focal,class_balanced_focal,camera_ready_seed_44,argmax,0.90625,0.953125,0.0140625,0.140625,0.953125,0.953125,0.9539518795505193,4,5e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_class_balanced_focal_lr5e5_s44_05-03_23-36/metrics_20260503_233635_class_balanced_focal.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/run/configs/0007_3d09a28c08a92b40.json
44,ldam_drw,ldam_drw,camera_ready_seed_44,argmax,0.90625,0.9609375,0.018437500000000002,0.184375,0.95625,0.95625,0.9565893909633217,5,5e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_ldam_drw_lr5e5_s44_05-03_23-40/metrics_20260503_234011_ldam_drw.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/run/configs/0008_d2bc65480ccc462b.json
44,ap_csada,ap_csada,camera_ready_seed_44,argmax,0.90625,0.96875,0.0053124999999999995,0.053125,0.975,0.975,0.9750343317077188,1,1e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_ap_csada_lr5e5_s44_05-03_23-41/metrics_20260503_234158_ap_csada.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/run/configs/0009_5b0d3492bcef1cac.json
44,sosr_cnn,sosr_cnn,camera_ready_seed_44,sosr_argmin,0.0,0.0,0.109375,1.09375,0.0,0.0,0.0,4,1e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_sosr_cnn_lr5e5_s44_05-03_23-43/metrics_20260503_234330_sosr_cnn.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/run/configs/0010_ceb128738500cdfa.json
44,csada,csada,camera_ready_seed_44,argmax,0.875,0.9609375,0.02,0.2,0.884375,0.884375,0.8697215372080656,3,1e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_csada_lr5e5_s44_05-03_23-45/metrics_20260503_234554_csada.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/run/configs/0011_251817c06a751df4.json
