dataset,model_family,method,decision_mode,run,metrics_file,normalized_atc,atc,target_recall,target_fnr,accuracy,balanced_accuracy,macro_f1,selection_score,selection_accuracy_value,nll,brier,ece,auroc,auprc,temperature
spider_balanced_prototype,convnext,ce,argmax,stop2_prototype_spider_balanced_prototype_convnext_ce_04-28_05-23,results/convnext_test/stop2_prototype_spider_balanced_prototype_convnext_ce_04-28_05-23/metrics_20260428_052331_ce.json,0.178125,1.78125,0.65625,0.34375,0.765625,0.765625,0.7627872498146775,0.524462890625,0.765625,0.5868383118252631,0.3967136578489239,0.17125442903488866,0.87109375,0.8851347237138796,
spider_balanced_prototype,convnext,ce,calibrated_cost_min,stop2_prototype_spider_balanced_prototype_convnext_ce_04-28_05-23,results/convnext_test/stop2_prototype_spider_balanced_prototype_convnext_ce_04-28_05-23/metrics_20260428_052331_ce.json,0.05,0.5,1.0,0.0,0.5,0.5,0.3333333333333333,0.14,0.5,0.5254547462305148,0.3466048952642041,0.1181357512238061,0.87109375,0.8851347237138796,0.5
spider_balanced_prototype,convnext,ce_calibrated_cost_min,argmax,stop2_prototype_spider_balanced_prototype_convnext_ce_calibrated_cost_min_04-28_05-23,results/convnext_test/stop2_prototype_spider_balanced_prototype_convnext_ce_calibrated_cost_min_04-28_05-23/metrics_20260428_052357_ce_calibrated_cost_min.json,0.178125,1.78125,0.65625,0.34375,0.765625,0.765625,0.7627872498146775,0.524462890625,0.765625,0.5868373617007066,0.3967128629887574,0.1712539196014404,0.87109375,0.8851347237138796,
spider_balanced_prototype,convnext,ce_calibrated_cost_min,calibrated_cost_min,stop2_prototype_spider_balanced_prototype_convnext_ce_calibrated_cost_min_04-28_05-23,results/convnext_test/stop2_prototype_spider_balanced_prototype_convnext_ce_calibrated_cost_min_04-28_05-23/metrics_20260428_052357_ce_calibrated_cost_min.json,0.05,0.5,1.0,0.0,0.5,0.5,0.3333333333333333,0.14,0.5,0.5254538457334281,0.3466045533573079,0.11813371774432535,0.87109375,0.8851347237138796,0.5
spider_balanced_prototype,convnext,menon_logit_adjusted,argmax,stop2_prototype_spider_balanced_prototype_convnext_menon_logit_adjusted_04-28_05-24,results/convnext_test/stop2_prototype_spider_balanced_prototype_convnext_menon_logit_adjusted_04-28_05-24/metrics_20260428_052424_menon_logit_adjusted.json,0.178125,1.78125,0.65625,0.34375,0.765625,0.765625,0.7627872498146775,0.524462890625,0.765625,0.5868383846036009,0.39671378421562875,0.1712534241378307,0.87109375,0.8851347237138796,
spider_balanced_prototype,convnext,menon_logit_adjusted,calibrated_cost_min,stop2_prototype_spider_balanced_prototype_convnext_menon_logit_adjusted_04-28_05-24,results/convnext_test/stop2_prototype_spider_balanced_prototype_convnext_menon_logit_adjusted_04-28_05-24/metrics_20260428_052424_menon_logit_adjusted.json,0.05,0.5,1.0,0.0,0.5,0.5,0.3333333333333333,0.14,0.5,0.525455796936354,0.3466062205460415,0.11813306689104969,0.87109375,0.8851347237138796,0.5
spider_balanced_prototype,convnext,nicme_hybrid,argmax,stop2_prototype_spider_balanced_prototype_convnext_nicme_hybrid_04-28_05-24,results/convnext_test/stop2_prototype_spider_balanced_prototype_convnext_nicme_hybrid_04-28_05-24/metrics_20260428_052448_nicme_hybrid.json,0.05,0.5,1.0,0.0,0.5,0.5,0.3333333333333333,0.14,0.5,0.7612775798910314,0.5639962585040059,0.2371517019346357,0.5947265625,0.5445562405047908,
spider_balanced_prototype,convnext,nicme_hybrid,calibrated_cost_min,stop2_prototype_spider_balanced_prototype_convnext_nicme_hybrid_04-28_05-24,results/convnext_test/stop2_prototype_spider_balanced_prototype_convnext_nicme_hybrid_04-28_05-24/metrics_20260428_052448_nicme_hybrid.json,0.05,0.5,1.0,0.0,0.5,0.5,0.3333333333333333,0.14,0.5,0.6934587286530433,0.5003154816592268,0.09914806428751306,0.5947265625,0.5445562405047908,7.25
spider_balanced_prototype,timm_dinov3_convnext_lora,ce,argmax,stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_ce_04-28_05-28,results/timm_dinov3_convnext_lora_test/stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_ce_04-28_05-28/metrics_20260428_052825_ce.json,0.2265625,2.265625,0.5625,0.4375,0.703125,0.703125,0.6971357409713574,0.8365722656249999,0.703125,0.5819028373965014,0.39816004690029094,0.1595866084098816,0.7685546875,0.7734233739051937,
spider_balanced_prototype,timm_dinov3_convnext_lora,ce,calibrated_cost_min,stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_ce_04-28_05-28,results/timm_dinov3_convnext_lora_test/stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_ce_04-28_05-28/metrics_20260428_052825_ce.json,0.05625,0.5625,0.96875,0.03125,0.578125,0.578125,0.5021607605877269,0.10547851562500002,0.578125,0.609900945427219,0.4114793379818295,0.1671880578469965,0.7685546875,0.7734233739051937,0.7
spider_balanced_prototype,timm_dinov3_convnext_lora,ce_calibrated_cost_min,argmax,stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_ce_calibrated_cost_min_04-28_05-28,results/timm_dinov3_convnext_lora_test/stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_ce_calibrated_cost_min_04-28_05-28/metrics_20260428_052850_ce_calibrated_cost_min.json,0.2265625,2.265625,0.5625,0.4375,0.703125,0.703125,0.6971357409713574,0.8365722656249999,0.703125,0.5819028373965014,0.39816004690029094,0.1595866084098816,0.7685546875,0.7734233739051937,
spider_balanced_prototype,timm_dinov3_convnext_lora,ce_calibrated_cost_min,calibrated_cost_min,stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_ce_calibrated_cost_min_04-28_05-28,results/timm_dinov3_convnext_lora_test/stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_ce_calibrated_cost_min_04-28_05-28/metrics_20260428_052850_ce_calibrated_cost_min.json,0.05625,0.5625,0.96875,0.03125,0.578125,0.578125,0.5021607605877269,0.10547851562500002,0.578125,0.609900945427219,0.4114793379818295,0.1671880578469965,0.7685546875,0.7734233739051937,0.7
spider_balanced_prototype,timm_dinov3_convnext_lora,menon_logit_adjusted,argmax,stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_menon_logit_adjusted_04-28_05-29,results/timm_dinov3_convnext_lora_test/stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_menon_logit_adjusted_04-28_05-29/metrics_20260428_052915_menon_logit_adjusted.json,0.2265625,2.265625,0.5625,0.4375,0.703125,0.703125,0.6971357409713574,0.8365722656249999,0.703125,0.5819004386928162,0.39815836170206254,0.15958345029503113,0.7685546875,0.7734233739051937,
