path,bytes,gib,reason
checkpoints/camera_ready_run_csada_lr5e5_s42/checkpoint-16/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_csada_lr5e5_s43/checkpoint-16/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_csada_lr5e5_s43/checkpoint-16/rng_state.pth,14645,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_csada_lr5e5_s43/checkpoint-16/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_csada_lr5e5_s44/checkpoint-16/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_csada_lr5e5_s44/checkpoint-16/rng_state.pth,14645,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_csada_lr5e5_s44/checkpoint-16/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_ldam_drw_lr5e5_s42/checkpoint-144/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_ldam_drw_lr5e5_s42/checkpoint-144/rng_state.pth,14645,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_ldam_drw_lr5e5_s42/checkpoint-144/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_ldam_drw_lr5e5_s43/checkpoint-128/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_ldam_drw_lr5e5_s43/checkpoint-128/rng_state.pth,14645,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_ldam_drw_lr5e5_s43/checkpoint-128/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_ldam_drw_lr5e5_s44/checkpoint-112/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_ldam_drw_lr5e5_s44/checkpoint-112/rng_state.pth,14645,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_ldam_drw_lr5e5_s44/checkpoint-112/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_menon_logit_adjusted_lr5e5_s42/checkpoint-272/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_menon_logit_adjusted_lr5e5_s42/checkpoint-272/rng_state.pth,14581,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
