dataset,model,method,mode,n,selection_mean,selection_sd,nATC_mean,nATC_sd,recall_mean,recall_sd,acc_mean,acc_sd,bacc_mean,macro_f1_mean,ece_mean
breakhis_balanced,vit,nicme_hybrid,calibrated_cost_min,3,0.11529902922388209,0.07893513072285015,0.03930260047281324,0.015938062826274076,1.0,0.0,0.6069739952718676,0.15938062826274071,0.6069739952718676,0.5042362766415374,0.10740561797671166
breakhis_balanced,vit,nicme_hybrid,calibrated_threshold,3,0.01881209865365592,0.003256552303307194,0.017966903073286054,0.0017936159462758302,0.9929078014184397,0.007092198581560294,0.8522458628841608,0.04856775355567795,0.8522458628841608,0.8483578987938877,0.10740561797671166
breakhis_balanced,vit,nicme_logit_adjustment,argmax,3,0.02285300202873766,0.008528319932604717,0.02281323877068558,0.008485359423602849,0.975177304964539,0.012785642820794337,0.8835697399527187,0.02888130430938677,0.8835697399527187,0.8824991357286908,0.07883132131105339
breakhis_balanced,vit,nicme_logit_adjustment,calibrated_cost_min,3,0.027314269905940342,0.00927084764450299,0.022754137115839245,0.0038206374370907785,0.9952718676122932,0.0054167561406097235,0.7937352245862884,0.045734142132749636,0.7937352245862884,0.7838780959950586,0.06717393778768148
breakhis_balanced,vit,nicme_logit_adjustment,calibrated_threshold,3,0.018638105058430998,0.005565317355952065,0.017848699763593382,0.004738832455177563,0.9929078014184398,0.003546099290780147,0.8534278959810875,0.06234314186278826,0.8534278959810875,0.8493427118124023,0.06717393778768148
spider_balanced,vit,ce_calibrated_cost_min,argmax,3,0.040377777777777776,0.003252577325638739,0.04011111111111111,0.0030245905752924887,0.9444444444444443,0.00769800358919506,0.8488888888888889,0.006938886664887101,0.8488888888888889,0.8474660030238109,0.09074252082241907
spider_balanced,vit,ce_calibrated_cost_min,calibrated_cost_min,3,0.046962962962962984,0.010340316238766382,0.032,0.0029059326290271172,1.0,0.0,0.68,0.02905932629027118,0.68,0.6426970457301574,0.05305880964469748
spider_balanced,vit,ce_calibrated_cost_min,calibrated_threshold,3,0.028051851851851856,0.0044586762877207335,0.02688888888888889,0.003501322501464162,0.991111111111111,0.003849001794597466,0.7711111111111112,0.022194427061597945,0.7711111111111112,0.7592473608453375,0.05305880964469748
spider_balanced,vit,ce,argmax,3,0.040296296296296295,0.0012033560751587165,0.03977777777777778,0.0006938886664887106,0.94,0.006666666666666654,0.8722222222222222,0.02341256389522829,0.8722222222222222,0.8714908430107856,0.07723759525352054
spider_balanced,vit,ce,calibrated_cost_min,3,0.03872962962962964,0.0213471897515356,0.027333333333333334,0.009848857801796106,1.0,0.0,0.7266666666666666,0.09848857801796107,0.7266666666666667,0.6981268270813192,0.055598724967360486
